claim_id,module,server,claim_text,claim_type,claim_confidence,evidence_ids,independence_check,version_match,status,verified_date,next_review_due,affected_files,notes
CLM-TW-DEEP-A8,baseline,TW,台服深域第8區於2025/11/15開放（五屬性各8-1～8-10）,SOURCE_FACT,A,ev008,N_A,YES,ACTIVE,2026-07-16,—,02;22,台服官方#3614既有Evidence；僅確認關卡存在，不支撐攻略隊伍、操作模式或可重現性
CLM-TW-DEEP-A10,baseline,TW,台服深域第10區於2026/07/15 16:00追加（五屬性各10-1~10-10）,SOURCE_FACT,A,ev029,N_A,YES,ACTIVE,2026-08-02,2026-08-31,02;22,2026-08-02官方直頁#3938完整抓取；僅確認關卡存在，攻略隊伍仍需獨立驗證後才可VERIFIED
CLM-JP-DEEP-A10,baseline,JP,日服深域 2026/03/16 開至第 10 區,SOURCE_FACT,D,ev009,NO,YES,ACTIVE,2026-07-16,2026-08-31,02,官方公告待補；候選錨點 #4
CLM-SHEFI-DATE,gacha,JP,シェフィ（ヴァードラッヘ）2026/06/30 實裝,SOURCE_FACT,A,ev010,N_A,YES,ACTIVE,2026-07-16,—,12;41,—
CLM-SHEFI-POOL,gacha,JP,シェフィ（ヴァードラッヘ）＝プリンセスフェス限定,SOURCE_FACT,A,ev032,N_A,YES,ACTIVE,2026-07-17,—,12;41;44,F04 修正：官方公告 #36760
CLM-SHEFI-EVAL-PVE,gacha,JP,シェフィ（ヴァードラッヘ）深域／單體 Boss 高適性,ANALYTICAL_JUDGMENT,D,ev011;ev012,NO,YES,ACTIVE,2026-07-17,2026-08-15,41;44,F03 修正：跨類型方向一致但不符 B／C 定義
CLM-SHEFI-ELEMENT,gacha,JP,シェフィ（ヴァードラッヘ）＝闇屬性,SOURCE_FACT,D,ev012,NO,UNKNOWN,ACTIVE,2026-07-16,2026-08-15,41,待官方頁核
CLM-LUISE-DATE,gacha,JP,ルイズマリー（サマー）2026/07/03 期間限定,SOURCE_FACT,A,ev013;ev033,YES,YES,ACTIVE,2026-08-02,—,12;41,2026-08-02官方直頁#36850完整抓取（DMM GAMES版官方站同ID）；池期2026/07/03~07/15已結束
CLM-LUISE-EVAL,gacha,JP,ルイズマリー（サマー）＝單體 Boss 水魔 buffer、非必須級,ANALYTICAL_JUDGMENT,D,ev014,NO,YES,ACTIVE,2026-07-16,2026-08-15,41;44,單一大型攻略站
CLM-KREDITTA-DATE,gacha,JP,クレジッタ（サマー）2026/07/15–07/31 期間限定,SOURCE_FACT,A,ev031,N_A,YES,ACTIVE,2026-07-17,—,02;12,本輪官網直驗
CLM-TW-SHIORI-POOL,baseline,TW,台服栞（冬日）2026/07/17 開池,SOURCE_FACT,A,ev028;ev034,YES,YES,ACTIVE,2026-07-18,—,02;12,2026-07-18 稽核官方直頁確認＋社群方向旁證
CLM-TW-UE2-NY3,baseline,TW,台服 2026/07/17 新年御三家專 2,SOURCE_FACT,A,ev030,N_A,YES,ACTIVE,2026-07-18,—,02;03,2026-07-18 稽核官方直頁確認
CLM-JPARENA-META,arena,JP,日服競技場常見防守核心與進攻原型（2026/07）,ANALYTICAL_JUDGMENT,D,ev015,NO,YES,ACTIVE,2026-07-16,2026-08-15,32,單一大型攻略站
CLM-JPARENA-TOOL,arena,JP,AppMedia 反制檢索工具現役（2026/07/15 更新）,ANALYTICAL_JUDGMENT,D,ev016,NO,YES,ACTIVE,2026-07-16,2026-08-15,34;01,頁面自述
CLM-ARENA-DEFENSE-STRUCT,arena,JP,可視防守在檢索工具時代不可恃；防守本質為拖延與威懾,ANALYTICAL_JUDGMENT,D,ev016;ev018,NO,YES,ACTIVE,2026-07-17,2026-08-31,32,F03 修正：v1.4 誤標 C；升 C 需第二筆獨立玩家紀錄
CLM-TWARENA-2409,arena,TW,2024/9 台服公競攻防構築（盲打防守約 6 成）,ANALYTICAL_JUDGMENT,D,ev017,NO,NO,STALE,2026-07-16,首次台服競技場研究,32,歷史起點，非現行環境
CLM-NOMAE-STALE,arena,JP,nomae arenadb 約 2020/11 後停更,SOURCE_FACT,D,ev018,NO,YES,ACTIVE,2026-07-16,—,34;01,—
CLM-PCRDFANS-TW,arena,UNKNOWN,pcrdfans 站內含 JP/CN/TW/Global 篩選,SOURCE_FACT,D,ev019,NO,YES,ACTIVE,2026-07-16,—,34;01,頁面直接可驗
CLM-SCHED-2020,baseline,TW,2020 未來視串因台服頻繁改順序停更,SOURCE_FACT,D,ev020,NO,YES,ACTIVE,2026-07-16,—,02,—
CLM-SCHED-2025,baseline,TW,2025/4 第二代卡池串停更（動力因素）,SOURCE_FACT,D,ev021,NO,YES,ACTIVE,2026-07-16,—,02,—
CLM-SEASONPASS,baseline,JP,シーズンパス月更（S1=2/28→S5=6/30）等近期系統,ANALYTICAL_JUDGMENT,D,ev022,NO,YES,ACTIVE,2026-07-16,2026-08-15,02;03,—
CLM-FES-ROSTER,glossary,JP,フェス限定＋名單含ライラエル／ネフィ＝ネラ（2026/02）,SOURCE_FACT,A,ev023,N_A,YES,ACTIVE,2026-07-16,—,03;12,—
CLM-TW-CURRENT-0717,baseline,TW,台服 7/17 現況：栞池／深域10區／專2新年御三家／討魔戰線等,SOURCE_FACT,A,ev024;ev028;ev029;ev030,YES,YES,SUPERSEDED,2026-07-17,事件觸發,02,含 ev029（待 91 §1 直頁回驗）；由CLM-TW-CURRENT-0802取代（歷史快照保留）
CLM-JP-CURRENT-0717,baseline,JP,日服 7/17 現況：クレジッタ池／7/15 新裝備等,SOURCE_FACT,A,ev025;ev031;ev026,YES,YES,SUPERSEDED,2026-07-17,事件觸發,02,—；由CLM-JP-CURRENT-0802取代（歷史快照保留）
CLM-JP-CHARCOUNT-338,baseline,JP,日服可用角色 338＋4,SOURCE_FACT,D,ev035,NO,YES,ACTIVE,2026-07-17,2026-08-31,02,—
CLM-TW-MAINLINE,baseline,TW,台服主線截至2026/08/02已驗證狀態：第3部第16章、Lv上限373（2026/07/15更新，ev043）。歷史鏈：01/15第14章(ev037)→04/15第15章確立(ev040)→06/15 Lv370(ev042)→07/15第16章/Lv373(ev043),SOURCE_FACT,A,ev037;ev040;ev042;ev043,N_A,YES,ACTIVE,2026-08-02,2026-08-31,02,2026-08-02官方直頁#3937完整抓取；08/02後更新須例行檢查
CLM-TW-DEEP-A9,baseline,TW,台服深域第9區於2026/01/15 16:00追加（五屬性9-1~9-10）,SOURCE_FACT,A,ev039,N_A,YES,ACTIVE,2026-07-20,2026-12-31,02,2026-07-20官方直頁確認
CLM-TW-SIXSTAR,baseline,TW,台服最新已驗證六星：涅婭★6才能開花（2026/06/15，ev041）。06/15後是否有後續六星須91§1例行檢查,SOURCE_FACT,A,ev041,N_A,YES,ACTIVE,2026-07-20,2026-12-31,02,2026-07-20官方直頁(3895)完整抓取確認；不宣稱絕對最新
CLM-TW-GRACE-POOL,gacha,TW,台服期間限定「格蕾斯（兔女郎）」精選轉蛋 2026/08/01 16:00～2026/08/11 15:59（當期最新卡池）,SOURCE_FACT,A,ev044,N_A,YES,ACTIVE,2026-08-02,2026-08-31,02;12,2026-08-02官方直頁#3963完整抓取；台服可用性已入18（grace_bunny）
CLM-TW-SANCTUM-TEMPLE-LV,baseline,TW,台服聖跡調查追加Lv10、神殿調查追加Lv5（2026/07/31官方公告）,SOURCE_FACT,A,ev045,N_A,YES,ACTIVE,2026-08-02,2026-09-30,02,生效時間細節依稽核轉述待直頁例行回驗（見ev045 limitations）
CLM-TW-CHALLENGE-AUG,pve_backlog,TW,台服8月「挑戰冒險」舉辦（2026/07/31官方預告公告）,SOURCE_FACT,A,ev046,N_A,YES,ACTIVE,2026-08-02,2026-08-31,02;23,窗口與規則細節待直頁例行回驗；列v1.6 PVE Backlog不中斷本輪深域Wave
CLM-TW-RIFT-AUG,pve_backlog,TW,台服「露娜之塔 次元斷層」8月舉辦（2026/07/31官方預告公告）,SOURCE_FACT,A,ev047,N_A,YES,ACTIVE,2026-08-02,2026-08-31,02;23,窗口細節待直頁例行回驗；列v1.6 PVE Backlog
CLM-JP-FUBUKI-DATE,gacha,JP,日服期間限定「フブキ（サマー）」ピックアップ 2026/07/31 12:00～2026/08/15 11:59,SOURCE_FACT,A,ev048,N_A,YES,ACTIVE,2026-08-02,2026-08-31,02;12;41,2026-08-02官方直頁#37049完整抓取；價值評估未完成前41列maturity=RESEARCH
CLM-TW-CURRENT-0802,baseline,TW,台服2026/08/02現況快照：主線第16章/Lv373（ev043）；當期池格蕾斯（兔女郎）08/01~08/11（ev044）；深域第10區已開放（ev029）；六星最新涅婭★6（ev041）,SOURCE_FACT,A,ev043;ev044;ev029;ev041,N_A,YES,ACTIVE,2026-08-02,2026-08-09,02,取代CLM-TW-CURRENT-0717；下次強制刷新2026-08-09或08/08直播後
CLM-JP-CURRENT-0802,baseline,JP,日服2026/08/02現況快照：當期池フブキ（サマー）07/31 12:00~08/15 11:59（ev048）；前池クレジッタ07/15~07/31（ev031）；8.5周年直前生放送公告已出（ev049）,SOURCE_FACT,A,ev048;ev031;ev049,N_A,YES,ACTIVE,2026-08-02,2026-08-09,02,取代CLM-JP-CURRENT-0717
CLM-PVE-F810-STD,pve,JP,火8-10 標準隊為露易絲瑪莉／萊拉耶爾（聖誕節）／克蘿茜（航空）／烏爾姆／琳德；appmatch=AUTO、jk=SEMI_AUTO（目押し3回）、tYw=SEMI_AUTO（4 Manuals），故操作模式維持 SOURCE_CONFLICT,ANALYTICAL_JUDGMENT,C,ev050;ev052;ev069,YES,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25,ev052 於 00:45-05:50 顯示五人與初回クリア；ev069 於 00:00-05:05 顯示同五人與 WIN；相同五人只計一隊；獨立性以不同 host 的 ev050 與實戰影片成立，兩支影片不額外灌成兩份獨立來源；逐 slot 練度未知值不臆測
CLM-PVE-F1010-SCARCE,pve,TW,截至2026-08-02火10-10公開可追溯通關紀錄（文字層）極少：JP側niconico未見・TW側主要創作者止步10-9,ANALYTICAL_JUDGMENT,D,ev054;ev055,N_A,YES,ACTIVE,2026-08-02,2026-08-31,24;22;23,官方實裝（ev029）僅解除關卡存在；隊伍證據待後續輪補齊
CLM-TW-LUISE-ORIG-REL,availability,TW,台服「露易絲瑪莉」2025/09/04 16:00 期間限定精選轉蛋實裝,SOURCE_FACT,A,ev056,N_A,YES,ACTIVE,2026-08-02,2026-09-30,18;03;25,本Claim僅含台服官方事實；跨服映射＝CLM-LOC-LUISE-ORIG（B，ev056+ev068），已於 R3f 建立，dangling reference 解除
CLM-TW-CROCE-AERIAL-REL,availability,TW,台服「克蘿茜（航空）」2025/08/09 16:00 期間限定精選轉蛋實裝,SOURCE_FACT,A,ev057,N_A,YES,ACTIVE,2026-08-02,2026-09-30,18;03;25,【2026-08-03修正】依稽核§4.1拆分：本Claim僅含台服實裝事實（A／ev057）；台日映射為 CLM-LOC-CROCE-AERIAL（ANALYTICAL_JUDGMENT／B，ev057+ev065），非 A
CLM-TW-LAILAEL-XMAS-REL,availability,TW,台服「萊拉耶爾（聖誕節）」2025/04/01 16:00 期間限定精選轉蛋實裝,SOURCE_FACT,A,ev058,N_A,YES,ACTIVE,2026-08-02,2026-09-30,18;03;25,本Claim僅含台服官方事實；跨服映射為 CLM-LOC-LAILAEL-XMAS（B，ev058+ev066），JP #29527 已於 R3e 實開，映射已成立
CLM-TW-LIND-REL,availability,TW,台服「琳德」2025/02/10 16:00 精選轉蛋實裝；為常駐新角色（非期間限定）,SOURCE_FACT,A,ev059,N_A,YES,ACTIVE,2026-08-03,2026-09-30,18;03;25,日服對應已由 CLM-JP-LIND-REL（A／ev063）與 CLM-LOC-LIND（ANALYTICAL_JUDGMENT／B）處理；本Claim僅含台服實裝事實
CLM-TW-VURM-REL,availability,TW,台服「烏爾姆」2025/02/17 16:00 精選轉蛋實裝；為常駐新角色（非期間限定）,SOURCE_FACT,A,ev060,N_A,YES,ACTIVE,2026-08-03,2026-09-30,18;03;25,日服對應已由 CLM-JP-VURM-REL（A／ev064）與 CLM-LOC-VURM（ANALYTICAL_JUDGMENT／B）處理；本Claim僅含台服實裝事實；媒體誤植「爾姆」以官方「烏爾姆」為準
CLM-TW-LIND-VURM-FIRE,availability,TW,台服琳德與烏爾姆為火屬性★3角色,SOURCE_FACT,D,ev061,N_A,YES,PENDING_REVIEW,2026-08-03,2026-09-30,18;24;25,僅搜尋摘要層（#3576未開直頁）→ 依Q1規則4維持D／PENDING_REVIEW；ev061 已標 PENDING_REVIEW，須**回驗**官方直頁 #3576 後方可升 OFFICIAL／A；此屬性關聯對紅焰深域隊伍合理性有支撐但本輪不作結論
CLM-TW-LIND-VURM-UE1,availability,TW,台服琳德與烏爾姆之角色專用裝備1於2026/02/22 16:00起開放,SOURCE_FACT,A,ev062,N_A,YES,ACTIVE,2026-08-03,2026-09-30,18;25,僅證明UE1可取得；不得據此推論隊伍所需UE1等級、專2狀態、六星或全自動可重現性（稽核文件§3.4同此限制）
CLM-JP-LIND-REL,availability,JP,日服「リンド」2024/10/10 12:00 PU轉蛋實裝（常駐新角）,SOURCE_FACT,A,ev063,N_A,YES,ACTIVE,2026-08-03,2026-09-30,41;93,純日服事實；不含台日映射（映射另建CLM-LOC-LIND）
CLM-JP-VURM-REL,availability,JP,日服「ヴルム」2024/10/18 12:00 PU轉蛋實裝（常駐新角）,SOURCE_FACT,A,ev064,N_A,YES,ACTIVE,2026-08-03,2026-09-30,41;93,純日服事實；不含台日映射（映射另建CLM-LOC-VURM）
CLM-LOC-LIND,availability,CROSS_SERVER_MAPPING,台服「琳德」＝日服「リンド」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev059;ev063,YES,YES,ACTIVE,2026-08-03,2026-09-30,03;18;41,"跨服 entity resolution（record linkage 判斷，非數學運算）。discriminator 分層：①共同條件僅鎖定角色對——リンド與ヴルム兩人共用同一劇情解鎖條件（メインストーリー第3部 第9章 第9話），琳德與烏爾姆亦同，故該證據只能確立集合對應{リンド,ヴルム}↔{琳德,烏爾姆}，無法單獨區分個別配對；②個別配對依官方名稱音譯一致、兩服推出順序一致（JP リンド→ヴルム／TW 琳德→烏爾姆）、成對推出脈絡一致、皆為常駐新角完成；③殘餘歧義：無官方跨服對照聲明，故上限 B"
CLM-LOC-VURM,availability,CROSS_SERVER_MAPPING,台服「烏爾姆」＝日服「ヴルム」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev060;ev064,YES,YES,ACTIVE,2026-08-03,2026-09-30,03;18;41,跨服 entity resolution（record linkage 判斷，非數學運算）。discriminator 與殘餘歧義同 CLM-LOC-LIND：共同劇情解鎖條件僅鎖定角色對，個別配對由名稱音譯、兩服推出順序（JP 間隔8日／TW 間隔7日）、成對脈絡與常駐屬性一致共同完成；無官方跨服對照聲明故上限 B
CLM-JP-CROCE-AERIAL-REL,availability,JP,日服「クローチェ（エアリアル）」2025/04/08 12:00 PU轉蛋實裝（期間限定）,SOURCE_FACT,A,ev065,N_A,YES,ACTIVE,2026-08-03,2026-09-30,41;93,純日服事實；不含台日映射
CLM-LOC-CROCE-AERIAL,availability,CROSS_SERVER_MAPPING,台服「克蘿茜（航空）」＝日服「クローチェ（エアリアル）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev057;ev065,YES,YES,ACTIVE,2026-08-03,2026-09-30,03;18;41,跨服 entity resolution（record linkage 判斷，非數學運算）。discriminator：①角色劇情解鎖指向同一劇情活動之第6話，活動名逐字對應且含特徵數字「4.1秒前」（超鋼乙女ギガンティックローチェ ～大出撃！ランドソル爆発4.1秒前～／超鋼少女巨型克蘿茜 ～大出擊！蘭德索爾爆炸4.1秒前～）②兩服皆標期間限定 ③版本後綴位置一致；殘餘歧義：該活動另有アオイ／蒼井登場，活動名本身不排他，個別鎖定仍依賴角色名與版本後綴，故上限 B
CLM-JP-LAILAEL-XMAS-REL,availability,JP,日服「ライラエル（クリスマス）」2024/11/30 12:00 PU轉蛋實裝（期間限定）,SOURCE_FACT,A,ev066,N_A,YES,ACTIVE,2026-08-03,2026-09-30,41;93,純日服事實；不含台日映射
CLM-LOC-LAILAEL-XMAS,availability,CROSS_SERVER_MAPPING,台服「萊拉耶爾（聖誕節）」＝日服「ライラエル（クリスマス）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev058;ev066,YES,YES,ACTIVE,2026-08-03,2026-09-30,03;18;41,跨服 entity resolution（record linkage 判斷，非數學運算）。discriminator：①角色劇情解鎖同指向聖誕劇情活動之最終段（JP「ラブ＆パニッシュメント 悪魔が届けるクリスマス」エンディング／TW「Love＆Punishment 惡魔送來的聖誕節」終幕，活動名逐字對應）②兩服皆標期間限定 ③版本後綴聖誕一致 ④官方名稱音譯一致；殘餘歧義：該活動另有イオ（クリスマス）同期登場，活動名本身不排他，個別鎖定仍依賴角色名與版本後綴，故上限 B
CLM-JP-LUISE-ORIG-REL,availability,JP,日服「ルイズマリー」2025/05/03 19:00 PU轉蛋實裝（期間限定）,SOURCE_FACT,A,ev068,N_A,YES,ACTIVE,2026-08-03,2026-09-30,41;93,純日服事實；不含台日映射
CLM-LOC-LUISE-ORIG,availability,CROSS_SERVER_MAPPING,台服「露易絲瑪莉」＝日服「ルイズマリー」原版為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev056;ev068,YES,YES,ACTIVE,2026-08-03,2026-09-30,03;18;41,跨服 entity resolution（record linkage 判斷，非數學運算）。discriminator：①兩服同期自選獎勵轉蛋候補六人逐一同序對應（JP ワカナ／ヤマト／フブキ／ノゾミ（アルケミスト）／キョウカ（スプリング）／スズメ（スプリング）＝TW 若菜／倭／布武機／望（鍊金術師）／鏡華（春日）／鈴莓（春日））②兩服皆期間限定且同為原版無版本後綴 ③大師碎片×3與記憶碎片×200規則一致 ④名稱音譯一致；殘餘歧義：本頁無活動劇情解鎖條件此類唯一識別，且無官方跨服對照聲明，故上限 B
CLM-JP-SHIORI-WINTER-REL,availability,JP,日服「シオリ（ウィンター）」2026/03/16 卡池實裝,SOURCE_FACT,A,ev027,N_A,YES,ACTIVE,2026-07-18,2026-09-30,41;93,沿用既有已驗證官方直頁 Evidence（#35686），本輪未重新開啟直頁；verified_date 保留原值 2026-07-18，非 R3f 重驗
CLM-LOC-SHIORI-WINTER,availability,CROSS_SERVER_MAPPING,台服「栞（冬日）」＝日服「シオリ（ウィンター）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev027;ev028,YES,YES,ACTIVE,2026-08-03,2026-09-30,02;41;93,跨服 entity resolution（record linkage 判斷，非數學運算）。JP Evidence＝ev027（#35686）／TW Evidence＝ev028（#3940），雙官方 host。判斷依據：角色名音譯一致、版本後綴冬日／ウィンター一致、兩服皆期間限定卡池、活動內順序（若菜→栞）兩服一致。本輪未重新開啟兩頁直頁，沿用既有 A 級 Evidence。殘餘歧義：無官方跨服對照聲明，故上限 B
CLM-JP-EXPT-REL,availability,JP,日服角色交換Pt道具機制 2025/12/31 實裝,SOURCE_FACT,A,ev003,N_A,YES,ACTIVE,2026-07-16,2026-09-30,41;93,沿用既有已驗證官方直頁 Evidence（#34623），本輪未重新開啟直頁；verified_date 保留原值 2026-07-16
CLM-TW-EXPT-REL,availability,TW,台服角色交換Pt道具機制 2026/03/16 實裝,SOURCE_FACT,A,ev004,N_A,YES,ACTIVE,2026-07-16,2026-09-30,41;93,沿用既有已驗證官方直頁 Evidence（#3765），本輪未重新開啟直頁；verified_date 保留原值 2026-07-16
CLM-LOC-EXPT-MECHANISM,availability,CROSS_SERVER_MAPPING,台服與日服之角色交換Pt道具機制為同一系統功能,ANALYTICAL_JUDGMENT,B,ev003;ev004,YES,YES,ACTIVE,2026-08-03,2026-09-30,02;41;93,跨服 entity resolution（record linkage 判斷，非數學運算）。JP Evidence＝ev003（#34623）／TW Evidence＝ev004（#3765），雙官方 host。判斷依據：功能名稱與運作規則對應、屬系統軌非卡池軌。本輪未重新開啟兩頁直頁，沿用既有 A 級 Evidence。殘餘歧義：系統功能無角色版本後綴可資鎖定，跨服同一性依功能描述比對，且無官方跨服對照聲明，故上限 B
CLM-JP-WAKANA-WINTER-REL,availability,JP,日服「ワカナ（ウィンター）」2026/03/03 卡池實裝,SOURCE_FACT,A,ev001,N_A,YES,ACTIVE,2026-07-16,2026-09-30,41;93,沿用既有已驗證官方直頁 Evidence（#35568），本輪未重新開啟直頁。注意：對應之 TW fact 尚未建立，因 ev002 之 source_url 僅指向台服新聞列表首頁（非官方直頁、locator 空白），依 R3f eligibility 規則不得作為新 anchor 之 TW 直頁證據
CLM-TW-WAKANA-WINTER-REL,availability,TW,台服「若菜（冬日）」2026/07/04 16:00 期間限定精選轉蛋實裝,SOURCE_FACT,A,ev002,N_A,YES,ACTIVE,2026-08-04,2026-09-30,02;12;18;41,本Claim僅含台服官方事實；開池日 2026-07-04（≠公告日 2026-07-03）；跨服映射見 CLM-LOC-WAKANA-WINTER
CLM-LOC-WAKANA-WINTER,availability,CROSS_SERVER_MAPPING,台服「若菜（冬日）」＝日服「ワカナ（ウィンター）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev001;ev002,YES,YES,ACTIVE,2026-08-04,2026-09-30,02;03;41,跨服 entity resolution（record linkage 判斷，非數學運算）。JP Evidence＝ev001（#35568）／TW Evidence＝ev002（#3925），雙官方 host。discriminator：①角色劇情第1話解鎖條件同指向同一劇情活動終幕，活動名逐字對應（爆熱！ピーチクラッシュ・トーナメント ワカナ＆シオリのHIP＆SPLASH／爆熱！蜜桃碰撞淘汰賽 若菜＆栞的HIP＆SPLASH）②同期自選獎勵候補四人逐一同序對應（アネモネ（サマー）／クリア（サマー）／チカ（儀装束）／ランファ（儀装束）＝安涅默涅（夏日）／可璃亞（夏日）／千歌（祭服）／蘭法（祭服））③兩服皆期間限定 ④版本後綴冬日／ウィンター一致；殘餘歧義：該活動同時涉及栞／シオリ，活動名本身不排他，個別鎖定仍依賴角色名與版本後綴，且無官方跨服對照聲明，故上限 B
CLM-GAP-LIMITED,gacha,CROSS_SERVER_MAPPING,台日限定角卡池延遲 LIMITED：n＝5｜中位數 123｜範圍 122–124,DERIVED_CALCULATION,B,ev001;ev002;ev027;ev028;ev058;ev066;ev057;ev065;ev056;ev068,YES,YES,ACTIVE,2026-08-04,2026-09-30,02;40;41,計算式＝tw_date−jp_date 逐筆日數後取中位數；輸入 anchors＝POOL-WAKANA-WINTER(123)／POOL-SHIORI-WINTER(123)／POOL-LAILAEL-XMAS(122)／POOL-CROCE-AERIAL(123)／POOL-LUISE-ORIG(124)；非官方直接公布；每筆 anchor 之跨服 identity 依賴 B 級 Mapping Claim，故整體上限 B
CLM-GAP-PERMANENT,gacha,CROSS_SERVER_MAPPING,台日常駐新角卡池延遲 PERMANENT：n＝2｜中位數 122.5｜範圍 122–123,DERIVED_CALCULATION,B,ev059;ev063;ev060;ev064,YES,YES,ACTIVE,2026-08-04,2026-09-30,02;40;41,計算式同上；輸入 anchors＝POOL-LIND(123)／POOL-VURM(122)；n=2 樣本極少，僅供對照不得單獨作預測依據；非官方直接公布；上限 B
CLM-GAP-ALL-NEW,gacha,CROSS_SERVER_MAPPING,台日新角卡池延遲合併統計 ALL_NEW：n＝7｜中位數 123｜範圍 122–124,DERIVED_CALCULATION,B,ev001;ev002;ev027;ev028;ev058;ev066;ev057;ev065;ev056;ev068;ev059;ev063;ev060;ev064,YES,YES,ACTIVE,2026-08-04,2026-09-30,02;40;41,計算式＝LIMITED 與 PERMANENT 之合併集合再取中位數；SYSTEM 軌不併入；非官方直接公布；上限 B
CLM-GAP-SYSTEM,gacha,CROSS_SERVER_MAPPING,台日系統功能延遲 SYSTEM：n＝1｜中位數 75｜範圍 75–75,DERIVED_CALCULATION,B,ev003;ev004,YES,YES,ACTIVE,2026-08-04,2026-09-30,02;40;41,計算式同上；輸入 anchor＝SYSTEM-EXCHANGE-PT-ITEMS(75)；n=1 不得作趨勢推論；不得混入角色卡池統計；非官方直接公布；上限 B
